No,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,Time
60,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.4,-88.0,2021-05-28T22:42:00
61,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.2,-88.0,2021-05-28T22:42:01
62,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:02
63,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:04
64,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:05
65,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:06
66,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:42:07
67,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:42:09
68,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.6,-88.0,2021-05-28T22:42:10
69,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.6,-88.0,2021-05-28T22:42:11
70,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.6,-88.0,2021-05-28T22:42:12
71,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.6,-88.0,2021-05-28T22:42:13
72,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.6,-88.0,2021-05-28T22:42:15
73,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.6,-88.0,2021-05-28T22:42:16
74,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.4,-88.0,2021-05-28T22:42:17
75,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.6,-88.0,2021-05-28T22:42:18
76,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.6,-88.0,2021-05-28T22:42:20
77,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.6,-88.0,2021-05-28T22:42:21
78,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.6,-88.0,2021-05-28T22:42:22
79,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.6,-88.0,2021-05-28T22:42:23
80,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.6,-88.0,2021-05-28T22:42:24
81,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:42:26
82,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:42:27
83,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:42:28
84,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:42:29
85,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:42:30
86,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:42:32
87,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:42:33
88,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:42:34
89,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.8,-88.0,2021-05-28T22:42:35
90,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.8,-88.0,2021-05-28T22:42:37
91,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.8,-88.0,2021-05-28T22:42:38
92,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:42:39
93,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:42:40
94,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:42:41
95,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.0,-88.0,2021-05-28T22:42:43
96,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.0,-88.0,2021-05-28T22:42:44
97,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.0,-88.0,2021-05-28T22:42:45
98,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.0,-88.0,2021-05-28T22:42:46
99,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.2,-88.0,2021-05-28T22:42:47
100,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.2,-88.0,2021-05-28T22:42:49
101,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.2,-88.0,2021-05-28T22:42:50
102,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.0,-88.0,2021-05-28T22:42:51
103,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.0,-88.0,2021-05-28T22:42:52
104,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.0,-88.0,2021-05-28T22:42:54
105,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.6,-88.0,2021-05-28T22:42:55
106,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.6,-88.0,2021-05-28T22:42:56
107,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.0,-88.0,2021-05-28T22:42:57
108,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.0,-88.0,2021-05-28T22:42:58
109,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.0,-88.0,2021-05-28T22:43:00
110,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.8,-88.0,2021-05-28T22:43:01
111,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.8,-88.0,2021-05-28T22:43:02
112,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.0,-88.0,2021-05-28T22:43:03
113,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.0,-88.0,2021-05-28T22:43:05
114,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.4,-88.0,2021-05-28T22:43:06
115,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.4,-88.0,2021-05-28T22:43:07
