time,lat,lon,alt,speed,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,s_pcid,s_rc,s_db,s_lband,s_State,p_pcid,p_rc,p_db,p_lband
2021-06-21T06:12:17.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,12.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:18.410Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.0,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:19.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.0,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:20.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.0,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:21.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:22.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:23.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:24.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:25.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:26.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:27.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,12.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:28.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,12.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:29.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,12.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:30.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,8.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:31.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,8.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:32.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,8.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:33.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.2,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
