time,lat,lon,alt,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,s_pcid,s_rc,s_db,s_lband,s_State,p_pcid,p_rc,p_db,p_lband,E-UTRA band 1: 2100,E-UTRA band 1: 900
2021-11-10T07:36:00.000Z,35.38910082,139.4315592,65,-44,-44,-2.5,-106,9,-18,-8.6,-80,56,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,"['\t\tCell [0]:', 36.0, -17.2, -81.3, -56.0, '\t\tCell [0]:', 325.0, -16.6, -77.8, -54.8, '\t\tCell [1]:', 108.0, -13.8, -76.3, -54.4, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 188.0, -17.8, -78.9, -43.4, '\tCell [1]:', 109.0, -15.2, -76.7, -54.1, '\tCell [2]:', 106.0, -15.2, -75.5, -52.7]"
2021-11-10T07:36:01.000Z,35.3891325,139.4314983,65,-44,-44,-2.5,-106,9,-18,-8.6,-80,56,475,15,eutran-1,activated,188,3750,10,eutran-8,"['\t\tCell [0]:', 36.0, -14.3, -78.7, -56.6, '\t\tCell [1]:', 56.0, -20.0, -91.2, -45.2, '\t\tCell [2]:', 0.0, 0.0, 0.0, 0.0, '\t\tCell [0]:', 325.0, -15.4, -76.5, -54.7, '\t\tCell [1]:', 108.0, -15.9, -78.0, -55.3, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 188.0, -18.0, -79.1, -43.4, '\tCell [1]:', 109.0, -15.6, -77.0, -54.3, '\tCell [2]:', 256.0, -20.0, -82.6, -53.7]"
2021-11-10T07:36:05.000Z,35.38920152,139.4314243,65,-44,-44,-2.5,-106,9,-18,-7.8,-80,195,475,15,eutran-1,deconfigured,109,3750,10,eutran-8,"['\t\tCell [0]:', 134.0, -17.0, -80.3, -55.4, '\t\tCell [0]:', 108.0, -12.8, -74.3, -53.7, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 106.0, -15.1, -76.2, -53.0, '\tCell [1]:', 109.0, -14.8, -76.4, -44.2, '\tCell [2]:', 18.0, -20.0, -82.5, -53.9, '\tCell [3]:', 114.0, -18.2, -80.5, -54.1, '\tCell [4]:', 188.0, -16.4, -78.3, -54.1]"
2021-11-10T07:36:06.000Z,35.38920152,139.4314243,66,-44,-44,-2.5,-106,9,-18,-4.6,-80,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,"['\t\tCell [0]:', 36.0, -16.9, -80.1, -55.3, '\t\tCell [1]:', 258.0, -17.4, -80.2, -54.2, '\t\tCell [2]:', 0.0, 0.0, 0.0, 0.0, '\t\tCell [3]:', 0.0, 0.0, 0.0, 0.0]","['\tCell [0]:', 109.0, -17.2, -78.6, -53.5, '\tCell [1]:', 106.0, -11.5, -72.2, -43.8, '\tCell [2]:', 188.0, -19.1, -81.0, -53.5, '\tCell [3]:', 131.0, -20.0, -83.3, -53.9]"
2021-11-10T07:36:10.000Z,35.38920435,139.4314482,65,-44,-44,-2.5,-106,9,-13,0,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,[],"['\tCell [0]:', 109.0, -17.9, -79.0, -53.4, '\tCell [1]:', 106.0, -13.2, -73.7, -43.8, '\tCell [2]:', 186.0, -20.0, -81.9, -53.3, '\tCell [3]:', 323.0, -19.9, -81.2, -53.2, '\tCell [4]:', 131.0, -20.0, -82.4, -54.2]"
2021-11-10T07:36:17.000Z,35.38917272,139.4313061,64,-44,-44,-2.5,-106,9,-13,0,-73,287,475,15,eutran-1,deactivated,106,3750,10,eutran-8,"['\t\tCell [0]:', 287.0, -20.0, -84.9, -42.8, '\t\tCell [1]:', 137.0, -19.5, -83.2, -55.4]","['\tCell [0]:', 188.0, -19.7, -80.7, -53.5, '\tCell [1]:', 106.0, -12.4, -72.4, -43.1, '\tCell [2]:', 109.0, -17.7, -78.6, -53.3]"
2021-11-10T07:36:18.000Z,35.38915972,139.4312584,66,-44,-44,-2.5,-106,9,-13,-2.6,-73,287,475,15,eutran-1,deactivated,106,3750,10,eutran-8,[],"['\tCell [0]:', 109.0, -15.0, -76.2, -53.8, '\tCell [1]:', 106.0, -11.4, -71.4, -44.1, '\tCell [2]:', 372.0, -20.0, -86.7, -54.3, '\tCell [3]:', 188.0, -18.2, -79.4, -53.0]"
2021-11-10T07:36:22.000Z,35.38910716,139.4310828,66,-44,-44,-2.5,-106,9,-13,1.8,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,[],"['\tCell [0]:', 109.0, -14.5, -75.7, -53.6, '\tCell [1]:', 106.0, -13.7, -74.8, -44.5, '\tCell [2]:', 277.0, -20.0, -82.9, -53.3, '\tCell [3]:', 476.0, -20.0, -84.3, -53.2]"
2021-11-10T07:36:29.000Z,35.38909415,139.4310339,65,-44,-44,-2.5,-106,9,-13,0.6,-73,287,475,15,eutran-1,deactivated,106,3750,10,eutran-8,"['\t\tCell [0]:', 36.0, -15.8, -79.3, -55.3, '\t\tCell [0]:', 108.0, -14.5, -76.4, -52.5, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 109.0, -15.4, -76.1, -52.8, '\tCell [1]:', 106.0, -12.4, -73.1, -43.6]"
2021-11-10T07:36:30.000Z,35.38909415,139.4310339,66,-44,-44,-2.5,-106,9,-13,-0.2,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,"['\t\tCell [0]:', 36.0, -15.3, -78.4, -55.3, '\t\tCell [1]:', 258.0, -20.0, -84.0, -54.9, '\t\tCell [2]:', 74.0, -20.0, -83.6, -55.6, '\t\tCell [0]:', 108.0, -14.0, -75.5, -53.0, '\t\tCell [1]:', 147.0, -18.4, -83.9, -57.2, '\t\tCell [2]:', 40.0, -15.0, -76.2, -53.1, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 109.0, -15.8, -76.6, -52.9, '\tCell [1]:', 106.0, -12.2, -73.0, -43.0, '\tCell [2]:', 323.0, -20.0, -82.0, -52.7]"
